RunNumber,IdealDetector,DUT,Vbb,Ireset,Irrad
204205000230518205014,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7.conf,AF25P_W22B7,0.0,1,None
204211814230518211828,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7.conf,AF25P_W22B7,0.0,1,None
204211815230518220734,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7.conf,AF25P_W22B7,1.2,1,None
204211818230518225222,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B7.conf,AF25P_W22B7,4.8,1,None
204234320230518234334,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0,1,None
205000229230519000243,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0,1,None
205000230230519004233,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,1.2,1,None
205000231230519012149,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0,1,None
205000232230519020115,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,1.2,1,None
205000235230519024040,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,4.8,1,None
205000236230519031927,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,4.8,1,None
205000237230519035752,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0,1,None
205000238230519043637,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,1.2,1,None
205000239230519051502,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0,1,None
205000240230519055418,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,1.2,1,None
205000243230519063733,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,4.8,1,None
205000244230519072112,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,4.8,1,None
205101032230519101046,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B59.conf,AF25P_W22B59,0.0,1,1.00E+13
205101033230519111733,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B59.conf,AF25P_W22B59,1.2,1,1.00E+13
205101034230519122320,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B59.conf,AF25P_W22B59,0.0,1,1.00E+13
205101035230519134227,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B59.conf,AF25P_W22B59,1.2,1,1.00E+13
205155640230519155655,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B60.conf,AF25P_W22B60,0.0,1,1.00E+14
205155641230519185329,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B60.conf,AF25P_W22B60,1.2,1,1.00E+14
