RunNumber,File,IdealDetector,Energy,DUT,Trigger,TriggerDevice,Threshold,TRGVbb,BackBiasVoltage,Temperature
413221454221013055756,run413221454221013055756.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15P_W22B2.conf,120,AF15P_W22B2,External,AF25P_W22B7,50,0,0,20
413221452221013022918,run413221452221013022918.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15P_W22B2.conf,120,AF15P_W22B2,External,AF25P_W22B7,50,0,0,20
413221453221013042711,run413221453221013042711.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15P_W22B2.conf,120,AF15P_W22B2,External,AF25P_W22B7,50,0,1.2,20
415000658221014000702,run415000658221014000702.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B28.conf,120,AF10P_W22B28,External,AF25P_W22B7,50,0,1.2,20
4150006582210140007020035964,run415000658221014000702.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B28_0.0035_9.64.conf,120,AF10P_W22B28_0035_964,External,AF25P_W22B7,50,0,1.2,20
4150006582210140007020035984,run415000658221014000702.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B28_0.0035_9.84.conf,120,AF10P_W22B28_0035_984,External,AF25P_W22B7,50,0,1.2,20
4150006582210140007020035,run415000658221014000702.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B28_0.0035.conf,120,AF10P_W22B28_0035,External,AF25P_W22B7,50,0,1.2,20
4150006582210140007020045,run415000658221014000702.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B28_0.0045.conf,120,AF10P_W22B28_0045,External,AF25P_W22B7,50,0,1.2,20
4150006582210140007020055,run415000658221014000702.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B28_0.0055.conf,120,AF10P_W22B28_0055,External,AF25P_W22B7,50,0,1.2,20
4150006582210140007020065,run415000658221014000702.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B28_0.0065.conf,120,AF10P_W22B28_0065,External,AF25P_W22B7,50,0,1.2,20
